geneID,A_1_R1,A_1_R2,A_1_R3,A_1_R4,A_1_R5,A_308_R1,A_308_R2,A_308_R3,A_308_R4,A_308_R5,E_1_R1,E_1_R2,E_1_R4,E_1_R5,E_1_R6,E_1_R7,E_1_R8,E_1_R9,E_308_R1,E_308_R2,E_308_R3,E_308_R4,E_308_R6,E_308_R7,E_308_R8
ENSMUSG00000050088,19.49404543,18.84156044,18.97789835,18.13532383,18.45121982,20.30735546,21.37882038,18.70273194,22.39073676,20.64434154,18.45362576,22.9471641,21.78584853,15.22389475,21.36722119,24.60416957,19.50140707,13.62291799,11.67891328,14.21699708,29.20858984,18.27140535,17.8824715,23.36976354,30.23944106
ENSMUSG00000050107,6.012998045,7.407148239,6.000076141,6.09262006,6.24925013,4.360127154,5.11065924,5.275871795,4.51311001,5.277998179,7.278932088,2.097357205,8.870570794,6.844418816,1.440305939,1.8087565,3.734041354,3.156525963,8.853635679,7.786807586,3.205943544,4.67617288,7.105574518,5.503985782,1.09132844
ENSMUSG00000050188,28.59867176,29.27372562,27.59330613,30.45818084,29.03900419,33.79875355,33.50381275,28.70647135,34.62351143,33.74891775,22.40662799,33.92755679,29.92610025,23.17384915,42.74730277,57.6529685,45.35961454,25.69007944,23.6927619,28.62923173,54.87556377,28.09892092,30.20905969,43.75298292,69.91792967
ENSMUSG00000050192,2.969880064,2.95927679,3.359717327,2.915979218,2.960446404,3.818782079,4.261554913,4.082368415,4.11088171,3.687209014,1.365771846,1.408787627,1.615173566,1.429417828,1.599878296,1.349906998,0.17042386,0.49972795,1.675653288,1.515583728,1.280026607,1.522772313,1.316107336,1.449002963,0.279231581
ENSMUSG00000050199,8.566670192,8.061327653,9.03416276,7.419547505,7.860016178,11.61563712,12.09333238,13.30978558,11.36489644,12.54424847,12.26028627,3.641029385,16.11928582,8.108697495,4.841781025,7.256995839,6.239623922,4.941078209,7.711073133,8.541019152,9.812768737,12.16869625,4.980659956,8.652419607,9.439749182
ENSMUSG00000050229,5.229503097,5.482346437,5.150809749,5.189722298,5.564653598,5.38246796,6.187251868,5.818242529,5.605300086,5.715100199,5.575039974,4.743853429,5.664060799,3.977214883,3.835690691,4.376086585,5.307779702,3.427701945,4.884038827,4.113364861,5.501262478,4.289870593,5.0995899,4.860055748,3.548192638
ENSMUSG00000050271,1.102790611,1.107053749,1.046137217,1.154489583,0.909337217,1.209888402,1.140647242,1.784052252,1.389261951,1.542143732,2.107393835,1.150076801,2.098225678,2.064282691,0.75639163,0.740730472,0.405404373,2.910995459,1.648359748,1.981349373,1.336797662,1.260888242,0.869787254,0.786501322,0.408262275
ENSMUSG00000050288,55.00614929,57.15959581,49.73728264,54.33038136,59.85370267,61.78501175,66.4100274,63.81336496,67.73215646,69.13281,30.78686817,38.9257068,29.72944069,25.55274605,64.57053133,75.81650649,16.14183337,30.82831681,25.41436262,27.90605073,98.0462469,30.92138215,32.22900029,69.3102982,64.09589805
ENSMUSG00000050335,349.8902421,362.6634746,341.7330687,378.2720387,357.0732067,449.402062,414.7678964,366.9309438,408.7372431,404.4803664,427.0595809,504.5422097,423.3535406,311.6977031,418.0171812,500.3684939,453.1902314,400.7132131,418.1955212,498.8089939,443.960945,355.9771636,645.6355136,489.7671936,822.7000661
ENSMUSG00000050373,8.98890983,9.625236171,9.157099264,9.311237692,9.607362348,10.70318652,10.89432011,9.61249339,11.0412088,10.50059826,8.285113716,12.95080712,8.560799109,10.27103754,22.01881319,20.32566114,11.08434277,8.140428381,6.634183159,8.009344809,25.46554467,10.53661875,13.579468,22.49576048,40.90895032
